prompt_id,baseline_prob,condition_a_delta,condition_b_delta,condition_c_delta,max_head_layer,max_head_index
0,0.03224461153149605,0.0714541122928898,0.733432569700276,0.9867426497271072,4,11
1,0.15734870731830597,0.1008286098584468,0.682843485004441,0.9889550879123647,4,11
2,0.052725642919540405,0.24682126568312193,0.3938292140026532,0.9989766788128888,4,11
3,0.10501306504011154,0.23621390155034389,0.84457491389442,0.9943381645667512,4,11
4,0.06727246195077896,0.27913851758253844,0.13912384068634537,0.9054698088093939,4,11
5,0.02591492235660553,0.20730609026053967,0.59435290873953,0.9861082278597924,4,11
6,0.016728181391954422,0.24441151273250242,-0.4088634357858712,0.9861204993105348,4,11
7,0.005246244370937347,0.18980529767560098,0.376778102405917,0.9941116383304202,4,11
8,0.0353565439581871,0.3194144948608938,0.6961577081324841,0.9667862937851321,4,11
9,0.00828404352068901,0.14090131630129724,0.14646190344065896,0.9942667445957099,4,11
10,0.02611909620463848,0.12046389741462041,0.7067100262483738,0.9989842889446171,4,11
11,0.05496783182024956,0.36069687431274766,-0.083967031540838,0.9958699924400123,4,11
12,0.1779058873653412,0.18781760242136275,0.7533808141711635,0.9977446238094856,4,11
13,0.032065268605947495,-0.010585475032980131,-1.1050956409298685,0.19420316458233008,4,11
14,0.013731792569160461,0.03691713464094843,-0.9743824095927945,-4.180175795556279,4,11
15,0.008705386891961098,-0.22718446685034818,-0.22421431641821446,0.41098925704837036,4,3
16,0.008831620216369629,0.07150791742592967,-0.01160364783694405,0.9133622710083856,4,11
17,0.002820327877998352,0.5424285342554777,0.6652949142490318,0.7999654468309655,9,8
18,0.05186653509736061,0.11808199446994096,-0.17863856143480158,0.15987899575208092,8,11
19,0.0043501160107553005,0.06698139534734354,-0.4712907133665739,0.16112007500051115,9,8
20,0.010558616369962692,0.37929858162859564,0.2537367158885752,0.65016920361838,9,8
21,0.05322307348251343,0.6360763241445346,0.5078369366191268,0.86135965068846,10,0
22,0.008784030564129353,-0.09627386386515972,0.3317918959314259,0.8841867856134489,9,0
23,0.11865249276161194,0.4084093906614319,0.8715035753244467,0.9982922477593862,9,8
24,0.0001748398644849658,0.31943742538433934,0.589419024904402,0.41906373117920875,9,8
25,0.9842327833175659,-0.0015531089248593476,0.005854650176234199,0.007526213482167589,9,0
26,0.7511154413223267,-0.20766899446150838,-0.1923067705707184,-0.15736754923531296,9,0
27,0.9868350625038147,-0.007960211024836702,-0.002920632542991826,-0.002889405844103877,9,0
28,0.9955921769142151,-0.0023701952881667147,-0.0011014613011288512,-0.00018116218595585953,9,0
29,0.9994024038314819,-0.00017134654047577441,-9.089179522627226e-05,-5.528654473409081e-05,0,2
30,0.9333450794219971,-0.05163417275201144,-0.04612849714143979,0.0,1,10
31,0.9622498154640198,0.016365837367526368,0.06892249462071462,0.07579308880836712,0,2
32,0.8957169055938721,0.3416861441147497,0.3735166994995088,0.3416861441147497,10,0
33,0.9404548406600952,-0.03641755651178264,0.1245568097884843,0.6378250415414571,0,2
34,0.34539082646369934,0.0473397528239831,0.7550801625244739,0.7550801625244739,9,2
35,0.0017651802627369761,0.09505497770429083,0.7314382194878077,0.09505497770429083,2,9
